<built-in function id>	nl	mr	repair_head_nl	repair_head_sbn	repair_head_smatch	repair_mid_nl	repair_mid_sbn	repair_mid_smatch	repair_tail_nl	repair_tail_sbn	repair_tail_smatch	repair_interrug_nl	repair_interrug_sbn	repair_interrug_smatch
p89/d1380	What two European countries are connected by the St. Gotthard Tunnel under the Alps? 	"quantity.n.01 EQU 2 continent.n.01 Name ""europe"" country.n.02 Name ? Quantity -2 PartOf -1 time.n.08 EQU now connect.v.03 Co-Patient -2 Time -1 Patient +1 Location +2 structure.n.01 Name ""St. Gotthard Tunnel"" location.n.01 SZN +1 range.n.04 Name ""Alps"""												
p73/d2269	The new jet circles the globe in twenty-four hours. 	new.a.02 AttributeOf +1 jet.n.01 circle.v.01 Theme -1 Time +1 Path +2 Duration +4 time.n.08 EQU now globe.n.01 quantity.n.01 EQU 24 hour.n.01 Quantity -1												
p70/d3234	Tom gave Mary $1,000 in a brown paper bag. 	"male.n.02 Name ""Tom"" give.v.03 Agent -1 Time +1 Recipient +2 Theme +3 time.n.08 TPR now female.n.02 Name ""Mary"" dollar.n.01 Quantity +1 ContentOf +3 quantity.n.01 EQU 1000 brown.a.01 paper_bag.n.01 Colour -1"												
p77/d1392	How many gas stations are there in the United States? 	"gas_station.n.01 Quantity ? be.v.03 Theme -1 Time +1 EQU +2 Location +3 time.n.08 EQU now entity.n.01 country.n.02 Name ""United States"""												
p07/d3270	Jane gave me the same present as Wendy did. 	"female.n.02 Name ""Jane"" give.v.03 Agent -1 Time +1 Recipient +2 Theme +3 time.n.08 TPR now person.n.01 EQU speaker present.n.02 CONTINUATION <1 female.n.02 Name ""Wendy"" give.v.03 Agent -1 Time +1 Recipient +2 Theme -3 time.n.08 TPR now person.n.01 EQU speaker present.n.02 EQU -5"												
p37/d1389	What is the scientific name for the Arabic oryx? 	"entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now scientific.a.01 AttributeOf +1 name.n.01 Bearer +2 region.n.03 Name ""arabia"" oryx.n.01 Source -1"												
p76/d3234	I bid thee a happy voyage to thine abode. 	person.n.01 EQU speaker bid.v.02 Agent -1 Time +1 Recipient +2 Theme +4 time.n.08 EQU now person.n.01 EQU hearer happy.a.01 AttributeOf +1 voyage.n.01 Destination +2 person.n.01 EQU hearer abode.n.01 User -1												
p02/d0820	I came upon an old friend of mine on the train. 	person.n.01 EQU speaker come_upon.v.01 Agent -1 Time +1 Theme +3 Location +6 time.n.08 TPR now old.a.02 Theme +2 person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker train.n.01												
p73/d0791	The city is at the foot of the mountain. 	city.n.01 be.v.03 Theme -1 Time +1 Location +2 time.n.08 EQU now foot.n.03 PartOf +1 mountain.n.01												
p26/d2094	Tom asked Mary if she had been to Boston. 	"male.n.02 Name ""Tom"" ask.v.01 Proposition >1 Agent -1 Time +1 Recipient +2 time.n.08 TPR now female.n.02 Name ""Mary"" CONTINUATION <0 female.n.02 ANA -1 be.v.03 Theme -1 Time +1 Location +2 time.n.08 TPR now city.n.01 Name ""Boston"""												
p41/d0799	When I painted this picture, I was 23 years old. 	person.n.01 EQU speaker paint.v.01 Agent -1 Time +1 Result +2 time.n.08 TPR now picture.n.02 CONTINUATION <1 person.n.01 EQU speaker time.n.08 TPR now quantity.n.01 EQU 23 year.n.01 Quantity -1 old.a.01 Theme -4 Time -3 Value -1												
p16/d2354	He had his car stolen in that parking lot. 	male.n.02 time.n.08 TPR now male.n.02 ANA -2 car.n.01 User -1 steal.v.01 Beneficiary -4 Time -3 Theme -1 Location +1 parking_lot.n.01												
p29/d2780	The boy has taken the toy away from his little sister. 	boy.n.01 take_away.v.04 Agent -1 Time +1 Theme +2 Source +4 time.n.08 TPR now toy.n.01 male.n.02 ANA -4 person.n.01 Role +1 little_sister.n.01 Of -2												
p13/d2985	There was a flower bed in the middle of the garden. 	entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +3 time.n.08 TPR now flower_bed.n.01 middle.n.01 PartOf +1 garden.n.01												
p00/d2910	A lot of insects are chirping in the field. 	entity.n.01 Quantity + EQU +1 insect.n.01 time.n.08 EQU now chirp.v.01 Agent -3 Time -1 Location +1 field.n.01												
p69/d0350	Lewis sat down and Lucy laid her hand on his cheek. 	"male.n.02 Name ""Lewis"" sit_down.v.01 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <1 female.n.02 Name ""Lucy"" lay.v.01 Agent -1 Time +1 Theme +3 Destination +5 time.n.08 TPR now female.n.02 ANA -3 hand.n.01 PartOf -1 male.n.02 ANA -8 cheek.n.01 PartOf -1"												
p13/d1234	The match lasted almost three and a half hours. 	match.n.02 last.v.01 Theme -1 Time +1 Value +4 time.n.08 TPR now quantity.n.01 LES +1 quantity.n.01 EQU 3.5 hour.n.01 Quantity -2												
p59/d2293	I always travel with travelers' checks instead of cash. 	NEGATION <1 time.n.08 NEGATION <1 person.n.01 EQU speaker travel.v.01 Theme -1 Time +1 Instrument +2 time.n.08 EQU now traveler's_check.n.01 NEGATION <1 entity.n.01 EQU -3 Instrument +1 cash.n.01												
p00/d3168	Tom picked the diamond up and looked at it. 	"male.n.02 Name ""Tom"" pick_up.v.02 Agent -1 Time +1 Theme +2 time.n.08 TPR now diamond.n.01 look.v.01 Agent -4 Time +1 Theme +2 time.n.08 TPR now entity.n.01 ANA -3"												
p60/d1224	This supports the suspicion that a bank employee was involved in the crime. 	entity.n.01 support.v.05 Agent -1 Time +1 Theme +2 time.n.08 EQU now suspicion.n.01 Proposition >1 CONTINUATION <0 bank.n.02 person.n.01 Role +1 employee.n.01 Of -2 time.n.08 TPR now involve.v.02 Theme -3 Time -1 Goal +1 crime.n.01												
p87/d2162	Mary is sensitive to light, so she wears sunglasses. 	"female.n.02 Name ""Mary"" time.n.08 EQU now sensitive.a.01 Experiencer -2 Time -1 Stimulus +1 light.n.01 CONTINUATION <1 female.n.02 ANA -4 wear.v.02 Agent -1 Time +1 Theme +2 time.n.08 EQU now sunglasses.n.01"												
p24/d0892	The tip of the spear was dipped in a deadly poison. 	tip.n.01 PartOf +1 spear.n.01 time.n.08 TPR now dip.v.01 Theme -3 Time -1 Destination +2 deadly.a.01 AttributeOf +1 poison.n.01												
p00/d2701	If the text doesn't make sense, it isn't coherent. 	text.n.01 NEGATION <1 time.n.08 EQU now make_sense.v.01 Theme -2 Time -1 CONSEQUENCE <1 entity.n.01 ANA -3 NEGATION <1 time.n.08 EQU now coherent.a.01 AttributeOf -2 Time -1												
p44/d0785	He brought our TV set down to the cellar. 	male.n.02 bring_down.v.01 Agent -1 Time +1 Theme +3 Destination +4 time.n.08 TPR now person.n.01 Sub speaker tv_set.n.01 User -1 cellar.n.01												
p03/d0319	Matthew William Goode (born 3 April 1978) is an English character actor. 	"male.n.02 Name ""Matthew William Goode"" bear.v.02 Patient -1 Time +3 time.n.08 DayOfMonth 3 EQU +2 time.n.08 MonthOfYear 4 EQU +1 time.n.08 YearOfCentury 1978 be.v.08 Theme -5 Time +1 Co-Theme +3 time.n.08 EQU now country.n.02 Name ""england"" person.n.01 Source -1 Role +1 character_actor.n.01"												
p62/d2474	The donkey kicked the dog that had bitten it. 	donkey.n.01 kick.v.03 Agent -1 Time +1 Patient +2 time.n.08 TPR now dog.n.01 bite.v.01 Agent -1 Patient +1 entity.n.01 ANA -5												
p93/d2005	They replaced the defective TV with a new one. 	person.n.01 replace.v.01 Agent -1 Theme +2 Co-Theme +4 defective.a.01 AttributeOf +1 tv.n.01 new.a.05 AttributeOf +1 tv.n.01												
p98/d3255	I am allergic to aspirin, penicillin, and sulfa drugs. 	person.n.01 EQU speaker time.n.08 EQU now allergic.a.02 Experiencer -2 Time -1 Stimulus +5 aspirin.n.01 ContentOf +2 penicillin.n.01 ContentOf +2 entity.n.01 entity.n.01 entity.n.01 Sub -4 Sub -3 Sub +1 sulfa_drug.n.01												
p85/d3055	The young girl was chased by the old man. 	young.a.01 Value + girl.n.01 Attribute -1 time.n.08 TPR now chase.v.02 Theme -2 Time -1 Agent +2 old.a.01 Value + man.n.01 Attribute -1												
p79/d1394	How high is the net on a regulation ping pong table? 	high.a.01 Value ? Time +1 AttributeOf +2 time.n.08 EQU now net.n.05 PartOf +2 regulation.a.01 AttributeOf +1 ping-pong_table.n.01												
p25/d2979	This color is a bit darker than that one. 	color.n.01 time.n.08 EQU now measure.n.02 Quantity - dark.a.02 AttributeOf -3 Time -2 Degree +1 more.r.01 Theme -4 Value -2 Co-Theme +1 color.n.01												
p61/d2541	We visited a huge amusement park in São Paulo. 	"person.n.01 Sub speaker visit.v.01 Agent -1 Time +1 Theme +3 time.n.08 TPR now huge.a.01 Value + amusement_park.n.01 Attribute -1 Location +1 city.n.01 Name ""São Paulo"""												
p76/d3097	If the phone rings again, I will ignore it. 	phone.n.01 ring.v.01 Theme -1 Time +1 time.n.08 EQU now CONSEQUENCE <1 person.n.01 EQU speaker time.n.08 TSU now ignore.v.02 Agent -2 Time -1 Theme +1 entity.n.01 ANA -6												
p36/d1985	Nobody is in the living room, but the TV is on. 	NEGATION <1 person.n.01 be.v.03 Theme -1 Time +1 Location +2 time.n.08 EQU now living_room.n.01 CONTRAST <1 tv.n.02 time.n.08 EQU now on.a.01 AttributeOf -2 Time -1												
p03/d0764	More than 200,000 people were killed in the air attack in the Darfur region.	"quantity.n.01 MOR +1 quantity.n.01 EQU 200000 person.n.01 Quantity -2 time.n.08 TPR now kill.v.01 Patient -2 Time -1 Time +1 Causer +2 Location +4 time.n.08 TPR now air_attack.n.01 region.n.03 Name ""Darfur"" region.n.03 EQU -1"												
p68/d3193	Athletic boys are popular with girls in American schools. 	"athletic.a.01 AttributeOf +1 boy.n.01 time.n.08 EQU now popular.a.01 Stimulus -2 Time -1 Experiencer +1 Context +3 girl.n.01 country.n.02 Name ""america"" school.n.01 Location -1"												
p83/d1390	How many Japanese students were there in the United States in 1990? 	"country.n.02 Name ""japan"" person.n.01 Quantity ? Source -1 Role +1 student.n.01 be.v.03 Theme -2 Time +1 EQU +2 Location +3 Time +4 time.n.08 TPR now entity.n.01 country.n.02 Name ""United States"" time.n.08 YearOfCentury 1990"												
p66/d0948	I took a taxi from the train station to the hotel. 	person.n.01 EQU speaker take.v.09 Agent -1 Time +1 Theme +2 Source +3 Destination +4 time.n.08 TPR now taxi.n.01 train_station.n.01 hotel.n.01												
p96/d1385	What is the name of Kim Il Sung's son? 	"entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now name.n.02 Bearer +2 male.n.02 Name ""Kim Il Sung"" person.n.01 Role +1 son.n.01 Of -2"												
p90/d0952	According to the newspaper there was an earthquake in Mexico. 	"according.a.02 Proposition >1 Source +1 newspaper.n.01 CONTINUATION <0 entity.n.01 be.v.03 Time +1 EQU -1 Theme +2 Location +3 time.n.08 TPR now earthquake.n.01 country.n.02 Name ""Mexico"""												
p38/d2564	If these books were stolen, then don't give them to me. 	book.n.02 time.n.08 TPR now steal.v.01 Theme -2 Time -1 CONSEQUENCE <1 person.n.01 EQU hearer NEGATION <1 time.n.08 EQU now give.v.03 Agent -2 Time -1 Theme +1 Recipient +2 entity.n.01 ANA -6 person.n.01 EQU speaker												
p29/d0709	The 24-year-old forest guard was shot in the head, face and shoulder.	quantity.n.01 EQU 24 year.n.01 Quantity -1 old.a.01 Value -1 AttributeOf +2 forest.n.02 person.n.01 Role +1 guard.n.01 Theme -2 time.n.08 TPR now shoot.v.01 Patient -3 Time -1 Destination +3 head.n.01 face.n.01 entity.n.01 Sub -2 Sub -1 Sub +1 shoulder.n.01												
p21/d3057	According to Tom's will, Mary will inherit his entire estate. 	"according.a.02 Proposition >1 Source +2 male.n.02 Name ""Tom"" will.n.03 Creator -1 CONTINUATION <0 female.n.02 Name ""Mary"" time.n.08 TSU now inherit.v.01 Agent -2 Time -1 Theme +3 male.n.02 ANA -5 entire.a.01 AttributeOf +1 estate.n.01 User -2"												
p88/d1847	Then we visited Washington, D.C., the capital of the United States of America. 	"person.n.01 Sub speaker visit.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now city.n.01 Name ""Washington, D.C."" EQU +1 national_capital.n.01 PartOf +1 country.n.02 Name ""United States of America"""												
p17/d1463	The authorities are striving in vain to stabilize the currency. 	person.n.01 Role +1 authority.n.02 time.n.08 EQU now strive.v.01 Agent -3 Time -1 Manner +1 Topic +2 in_vain.r.01 stabilize.v.01 Agent -5 Theme +1 currency.n.01												
p16/d2929	He kept the invaders at bay with a machine gun. 	male.n.02 keep.v.01 Agent -1 Time +1 Theme +2 Attribute +4 Instrument +5 time.n.08 TPR now person.n.01 Role +1 invader.n.01 at_bay.a.01 AttributeOf -2 machine_gun.n.01												
p08/d3432	I think Tom said his last name is Jackson. 	"person.n.01 EQU speaker think.v.04 Proposition >1 Agent -1 Time +1 time.n.08 EQU now CONTINUATION <0 male.n.02 Name ""Tom"" say.v.01 Proposition >1 Agent -1 Time +1 time.n.08 TPR now CONTINUATION <0 male.n.02 ANA -3 last_name.n.01 Bearer -1 be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now name.n.01 EQU ""Jackson"""												
p93/d0763	Brian Goodell won three gold medals in the 1979 Pan American Games.	"male.n.02 Name ""Brian Goodell"" win.v.01 Agent -1 Time +1 Theme +3 Context +5 time.n.08 TPR now quantity.n.01 EQU 3 gold_medal.n.01 Quantity -1 time.n.08 YearOfCentury 1979 tournament.n.01 Name ""Pan American Games"" Time -1"												
p73/d3197	Tom reminds me of someone I used to know in high school. 	"male.n.02 Name ""Tom"" remind.v.01 Stimulus -1 Time +1 Experiencer +2 Theme +3 time.n.08 EQU now person.n.01 EQU speaker person.n.01 person.n.01 EQU speaker time.n.08 TPR now know.v.04 Stimulus -3 Experiencer -2 Time -1 Context +1 high_school.n.01"												
p67/d2562	He bought that house because his wife liked it. 	male.n.02 buy.v.01 Agent -1 Time +1 Theme +2 time.n.08 TPR now house.n.01 EXPLANATION <1 male.n.02 ANA -4 person.n.01 Role +1 wife.n.01 Of -2 like.v.03 Experiencer -2 Time +1 Stimulus +2 time.n.08 TPR now entity.n.01 ANA -6												
p00/d0824	I bought a few eggs and a little milk. 	person.n.01 EQU speaker buy.v.01 Agent -1 Time +1 Theme +3 time.n.08 TPR now egg.n.02 Quantity - entity.n.01 Sub -1 Sub +1 milk.n.01 Quantity -												
p04/d1717	The voyage to America used to take many weeks. 	"voyage.n.01 Destination +1 country.n.02 Name ""America"" time.n.08 TPR now take.v.02 Theme -3 Time -1 Value +1 week.n.01 Quantity +"												
p63/d2886	A stocky man with a swarthy complexion snatched Mary's handbag and disappeared into the crowd. 	"stocky.a.01 AttributeOf +1 man.n.01 Attribute +2 swarthy.a.01 AttributeOf +1 complexion.n.01 snatch.v.01 Agent -3 Time +1 Theme +3 time.n.08 TPR now female.n.02 Name ""Mary"" handbag.n.01 User -1 disappear.v.01 Theme -7 Time +1 Destination +2 time.n.08 TPR now crowd.n.01"												
p99/d2492	Tom carved his initials on the large oak tree in front of the school. 	"male.n.02 Name ""Tom"" carve.v.02 Agent -1 Time +1 Theme +3 Destination +5 time.n.08 TPR now male.n.02 ANA -3 initial.n.01 Bearer -1 large.a.01 Value + oak_tree.n.01 Attribute -1 Location +1 front.n.09 PartOf +1 school.n.02"												
p02/d1389	What is the first name of Nelson Mandela's wife? 	"entity.n.01 EQU ? be.v.02 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now first_name.n.01 Bearer +2 male.n.02 Name ""Nelson Mandela"" person.n.01 Role +1 wife.n.01 Of -2"												
p60/d2533	Boiling lobsters is illegal in the town of Reggio Emilia, Italy. 	"boil.v.02 Patient +1 lobster.n.02 time.n.08 EQU now illegal.a.01 AttributeOf -3 Time -1 Location +1 town.n.01 EQU +1 PartOf +2 town.n.01 Name ""Reggio Emilia"" country.n.02 Name ""Italy"""												
p58/d1625	In clear weather one can see Mount Fuji from here. 	"person.n.01 POSSIBILITY <1 clear.a.01 AttributeOf +1 weather.n.01 see.v.01 Experiencer -3 Theme -1 Stimulus +1 Source +3 mountain.n.01 Name ""Mount Fuji"" entity.n.01 location.v.01 Theme -1"												
p24/d1680	Tom grabbed his coat and headed for the door. 	"male.n.02 Name ""Tom"" male.n.02 Name ""Tom"" grab.v.02 Agent -2 Time +1 Theme +3 time.n.08 TPR now male.n.02 ANA -4 coat.n.01 User -1 Destination +3 head.v.01 Theme -5 Time +1 Destination +3 time.n.08 TPR now door.n.01 door.n.01"												
p84/d2424	Tom is overweight, but not as overweight as Mary. 	"male.n.02 Name ""Tom"" time.n.08 EQU now overweight.a.01 Time -1 Value + AttributeOf -2 NEGATION <1 time.n.08 EQU now as.r.01 Theme -4 Co-Theme +2 overweight.a.01 AttributeOf -5 Time -2 Degree -1 female.n.02 Name ""Mary"""												
p40/d1718	Does the price of the room include the service charges? 	time.n.08 EQU now price.n.01 AttributeOf +1 room.n.01 include.v.01 Time -3 Theme -2 Co-Theme +1 service_charge.n.01												
p88/d2858	Tom set off at four o'clock in the morning. 	"male.n.02 Name ""Tom"" set_off.v.02 Theme -1 Time +1 Time +2 time.n.08 TPR now time.n.08 ClockTime 04:00 PartOf +1 morning.n.01"												
p57/d1385	"Who is the author of the poem ""The Midnight Ride of Paul Revere?"" "	"person.n.01 Name ? be.v.01 Theme -1 Time +1 Co-Theme +2 time.n.08 EQU now person.n.01 Role +1 author.n.01 Of +1 poem.n.01 EQU +1 poem.n.01 Name ""The Midnight Ride of Paul Revere"""												
p40/d1979	This transaction was carried out in yen, rather than US dollars. 	transaction.n.01 time.n.08 TPR now carry_out.v.01 Theme -2 Time -1 Asset +1 yen.n.02 NEGATION <1 entity.n.01 EQU -2 Instrument +1 united_states_dollar.n.01												
p62/d3531	The Seattle-based outfit plays indie rock and electronic music. 	"city.n.01 Name ""Seattle"" based.a.02 Location -1 Theme +1 outfit.n.01 play.v.03 Agent -1 Time +1 Theme +4 time.n.08 EQU now indie.a.01 AttributeOf +1 rock.n.06 entity.n.01 Sub -1 Sub +2 electronic.a.01 AttributeOf +1 music.n.01"												
p09/d3109	"""Who is Norman Finkelstein?"" ""He is an American political scientist."" "	"person.n.01 EQU ? be.v.08 Co-Theme -1 Time +1 Theme +2 time.n.08 EQU now male.n.02 Name ""Norman Finkelstein"" CONTINUATION <1 male.n.02 ANA -1 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 EQU now country.n.02 Name ""america"" person.n.01 Source -1 Role +1 political_scientist.n.01"												
p89/d2079	Tom rolled up the poster and put it into a cardboard tube. 	"male.n.02 Name ""Tom"" roll_up.v.01 Agent -1 Time +1 Patient +2 time.n.08 TPR now poster.n.01 put.v.01 Agent -4 Time +1 Theme +2 Destination +4 time.n.08 TPR now entity.n.01 ANA -3 cardboard.n.01 tube.n.01 MadeOf -1"												
p70/d2860	I'm convinced that this job is perfect for you. 	job.n.01 time.n.08 EQU now perfect.a.01 AttributeOf -2 Time -1 CONTINUATION <0 person.n.01 EQU speaker time.n.08 EQU now convinced.a.01 Time -1 Proposition <1 Experiencer -2 Beneficiary +1 person.n.01 EQU hearer												
p13/d1920	Tom Jackson was born in Boston on October 20, 1995. 	"male.n.02 Name ""Tom Jackson"" time.n.08 TPR now bear.v.02 Patient -2 Time -1 Location +1 Time +3 city.n.01 Name ""Boston"" time.n.08 MonthOfYear 10 EQU +1 time.n.08 DayOfMonth 20 EQU +1 time.n.08 YearOfCentury 1995"												
p48/d2738	Besides being an actress, she was a famous painter. 	be.v.08 Co-Theme +1 Theme +3 person.n.01 Role +1 actress.n.01 female.n.02 be.v.08 Theme -1 Time +1 Co-Theme +3 time.n.08 TPR now famous.a.01 AttributeOf +2 person.n.01 Role +1 painter.n.01												
p99/d3298	I ran into an old friend of mine this morning. 	person.n.01 EQU speaker run_into.v.04 Agent -1 Time +1 Co-Agent +3 Time +6 time.n.08 TPR now old.a.02 Attribute +2 person.n.01 Role +1 friend.n.01 Of +1 person.n.01 EQU speaker morning.n.01												
p06/d0786	New York is the biggest city in the world. 	"city.n.01 Name ""New York"" be.v.02 Theme -1 Time +1 Co-Theme +4 time.n.08 EQU now big.a.01 Degree +1 most.r.01 city.n.03 Attribute -2 PartOf +1 world.n.04"												
p22/d1391	How many Puerto Ricans live in Los Angeles County? 	"person.n.01 Quantity ? Source +1 state.n.01 Name ""puerto rico"" live.v.01 Theme -2 Time +1 Location +2 time.n.08 EQU now county.n.02 Name ""Los Angeles County"""												
p19/d0172	Can you tell me where the flea market is? 	POSSIBILITY <1 person.n.01 EQU hearer tell.v.02 Proposition >1 Agent -1 Recipient +1 person.n.01 EQU speaker CONTINUATION <0 location.n.01 EQU ? flea_market.n.01 be.v.03 Location -2 Theme -1 Time +1 time.n.08 EQU now												
